CD_MUN,NM_MUN,Populacao_Residente_2022,Area_Da_Unidade_territorial_km²,Densidade_Demografica_2022
3544608,Sabino,5112,"305,285","16,75"
3544707,Sagres,2474,"147,935","16,72"
3544806,Sales,6437,"308,555","20,86"
3544905,Sales Oliveira,11411,"305,776","37,32"
3545001,Salesópolis,15202,"424,997","35,77"
3545100,Salmourão,4808,"172,934","27,8"
3545159,Saltinho,8161,"99,738","81,82"
3545209,Salto,134319,"133,057","1009,48"
3545308,Salto de Pirapora,43748,"280,412","156,01"
3545407,Salto Grande,9050,"188,441","48,03"
3545506,Sandovalina,3645,"455,856",8
3545605,Santa Adélia,14018,"330,269","42,44"
3545704,Santa Albertina,6393,"272,692","23,44"
3545803,Santa Bárbara d'Oeste,183347,"271,03","676,48"
3546009,Santa Branca,13975,"272,238","51,33"
3546108,Santa Clara d'Oeste,2598,"183,458","14,16"
3546207,Santa Cruz da Conceição,4277,"150,13","28,49"
3546256,Santa Cruz da Esperança,2116,"148,062","14,29"
3546306,Santa Cruz das Palmeiras,28864,"295,337","97,73"
3546405,Santa Cruz do Rio Pardo,46442,"1114,747","41,66"
3546504,Santa Ernestina,6118,"134,421","45,51"
3546603,Santa Fé do Sul,34794,"206,537","168,46"
3546702,Santa Gertrudes,23611,"98,291","240,22"
3546801,Santa Isabel,53174,"363,332","146,35"
3546900,Santa Lúcia,7149,"153,86","46,46"
3547007,Santa Maria da Serra,5243,"252,621","20,75"
3547106,Santa Mercedes,2956,"166,753","17,73"
3547205,Santana da Ponte Pensa,1670,"129,888","12,86"
3547304,Santana de Parnaíba,154105,"179,949","856,38"
3547403,Santa Rita d'Oeste,2733,"209,8","13,03"
3547502,Santa Rita do Passa Quatro,24833,"754,141","32,93"
3547601,Santa Rosa de Viterbo,23411,"288,576","81,13"
3547650,Santa Salete,1645,"79,192","20,77"
3547700,Santo Anastácio,17963,"552,876","32,49"
3547809,Santo André,748919,"175,782","4260,5"
3547908,Santo Antônio da Alegria,6775,"310,311","21,83"
3548005,Santo Antônio de Posse,23244,"154,133","150,8"
3548054,Santo Antônio do Aracanguá,8379,"1308,432","6,4"
3548104,Santo Antônio do Jardim,6126,"109,956","55,71"
3548203,Santo Antônio do Pinhal,7133,"133,008","53,63"
3548302,Santo Expedito,3000,"94,465","31,76"
3548401,Santópolis do Aguapeí,3899,"128,026","30,45"
3548500,Santos,418608,"281,033","1489,53"
3548609,São Bento do Sapucaí,11674,"252,579","46,22"
3548708,São Bernardo do Campo,810729,"409,532","1979,65"
3548807,São Caetano do Sul,165655,"15,331","10805,23"
3548906,São Carlos,254857,"1136,907","224,17"
3549003,São Francisco,2602,"75,579","34,43"
3549102,São João da Boa Vista,92547,"516,399","179,22"
3549201,São João das Duas Pontes,2580,"129,462","19,93"
3549250,São João de Iracema,1846,"178,396","10,35"
3549300,São João do Pau d'Alho,2242,"117,665","19,05"
3549409,São Joaquim da Barra,48558,"410,863","118,19"
3549508,São José da Bela Vista,7626,"276,952","27,54"
3549607,São José do Barreiro,3853,"570,685","6,75"
3549706,São José do Rio Pardo,52205,"419,684","124,39"
3549805,São José do Rio Preto,480393,"431,944","1112,17"
3549904,São José dos Campos,697054,"1099,409","634,03"
3549953,São Lourenço da Serra,16067,"186,456","86,17"
3550001,São Luiz do Paraitinga,10337,"617,315","16,75"
3550100,São Manuel,37289,"650,734","57,3"
